_id,cons,pros,comment,aspect,description,mainTheme,secondaryTheme,sentiment,stage,signal
sqpd8YmfhIOlgcl9oMse,При подключении к телевизору с обычным кинескопом через конвертер HDMI/AVI - качество изображения плохое.,Классная приставка! Все соответствует описанию. Установленные приложения. Правда многие по подписке. Можно установить сторонние приложения.   Одним словом - огонь!Брал в магазине SberDevices. Доставили быстро. Приставка в заводской упаковке. Рекомендую и приставку и продавца!!!,"У меня есть телевизор СБЕР 43"". Понравилась оболочка системы, голосовой ввод, большое количество установленных приложений, удобный серфинг, возможность устанавливать сторонние приложения. Решил второй (32"",не смарт) сделать ""умным"" - приобрел приставку SberBox2.  И у приставки и у смарт ТВ - одна операционная система, нет необходимости привыкать к двум разным системам. Даже пульты одинаковые (только кнопка регулировки громкости перенесены на боковую грань как у смартфона). Пришлось немного повозиться с первым подключением -  цифровой код не выводился  на экран. Может я что не так делал. Хотя все по инструкции. Скачал приложение ""Салют Сбер""на телефон. Можно управлять приставкой через смартфон.  В приложении есть  виртуальный пульт, тачскрин, игровая консоль. Все управляется с экрана смартфона(в этом случае пульт приставки не активный). Вышел из приложения - активируется пульт приставки. Много установленных приложений. Вообщем классная вещь!! Подключил к ЖК телевизору 32"", Качество супер!!! \nА вот кто хочет подключить к телевизору с обычным кинескопом через конвертер HDMI/AVI - будьте готовы к тому, что качественного изображения Вы не получите!!! Пробовал на телевизоре  AKAI, с плоским экраном, диагональ 65 см. Пытался в настройках изменить разрешение - ничего не помогло. На экране мелкие буквы, программу передач читать невозможно. При серфинге по приложениям нижние иконки отображаются только на одну треть. Трудно догадаться, что там отражено. Так что старый телевизор превратить в медиацентр не получится!!! Эта приставка только для ЖК телевизоров!!! Имейте это в виду!!! \n плюсы:\n - удобная оболочка;\n - много установленных приложений;\n - можно установить сторонние;\n - управление с смартфона;\n - голосовой ввод;\n - детский контроль;\n - необычный бокс для батареек в пульте.\n - есть установленные игры.\nминусы:\n - не очень удобно расположены кнопки громкости;\n - при подключении к обычному телевизору плохое качество изображения;\n - батарейки в комплекте не очень  - можно смять  их пальцами - лучше приобрести новые.",Игры,есть установленные игры,Приложения и каталог приложений,Работа приложений,1,Приложения и каталог приложений,Стабильная работа приложений
sqpd8YmfhIOlgcl9oMse,При подключении к телевизору с обычным кинескопом через конвертер HDMI/AVI - качество изображения плохое.,Классная приставка! Все соответствует описанию. Установленные приложения. Правда многие по подписке. Можно установить сторонние приложения.   Одним словом - огонь!Брал в магазине SberDevices. Доставили быстро. Приставка в заводской упаковке. Рекомендую и приставку и продавца!!!,"У меня есть телевизор СБЕР 43"". Понравилась оболочка системы, голосовой ввод, большое количество установленных приложений, удобный серфинг, возможность устанавливать сторонние приложения. Решил второй (32"",не смарт) сделать ""умным"" - приобрел приставку SberBox2.  И у приставки и у смарт ТВ - одна операционная система, нет необходимости привыкать к двум разным системам. Даже пульты одинаковые (только кнопка регулировки громкости перенесены на боковую грань как у смартфона). Пришлось немного повозиться с первым подключением -  цифровой код не выводился  на экран. Может я что не так делал. Хотя все по инструкции. Скачал приложение ""Салют Сбер""на телефон. Можно управлять приставкой через смартфон.  В приложении есть  виртуальный пульт, тачскрин, игровая консоль. Все управляется с экрана смартфона(в этом случае пульт приставки не активный). Вышел из приложения - активируется пульт приставки. Много установленных приложений. Вообщем классная вещь!! Подключил к ЖК телевизору 32"", Качество супер!!! \nА вот кто хочет подключить к телевизору с обычным кинескопом через конвертер HDMI/AVI - будьте готовы к тому, что качественного изображения Вы не получите!!! Пробовал на телевизоре  AKAI, с плоским экраном, диагональ 65 см. Пытался в настройках изменить разрешение - ничего не помогло. На экране мелкие буквы, программу передач читать невозможно. При серфинге по приложениям нижние иконки отображаются только на одну треть. Трудно догадаться, что там отражено. Так что старый телевизор превратить в медиацентр не получится!!! Эта приставка только для ЖК телевизоров!!! Имейте это в виду!!! \n плюсы:\n - удобная оболочка;\n - много установленных приложений;\n - можно установить сторонние;\n - управление с смартфона;\n - голосовой ввод;\n - детский контроль;\n - необычный бокс для батареек в пульте.\n - есть установленные игры.\nминусы:\n - не очень удобно расположены кнопки громкости;\n - при подключении к обычному телевизору плохое качество изображения;\n - батарейки в комплекте не очень  - можно смять  их пальцами - лучше приобрести новые.",Качество изображения,"подключил к ЖК телевизору 32"", качество супер",Первый опыт,HDR и качество изображения,1,Первый опыт,Положительная оценка качества изображения
sqpd8YmfhIOlgcl9oMse,При подключении к телевизору с обычным кинескопом через конвертер HDMI/AVI - качество изображения плохое.,Классная приставка! Все соответствует описанию. Установленные приложения. Правда многие по подписке. Можно установить сторонние приложения.   Одним словом - огонь!Брал в магазине SberDevices. Доставили быстро. Приставка в заводской упаковке. Рекомендую и приставку и продавца!!!,"У меня есть телевизор СБЕР 43"". Понравилась оболочка системы, голосовой ввод, большое количество установленных приложений, удобный серфинг, возможность устанавливать сторонние приложения. Решил второй (32"",не смарт) сделать ""умным"" - приобрел приставку SberBox2.  И у приставки и у смарт ТВ - одна операционная система, нет необходимости привыкать к двум разным системам. Даже пульты одинаковые (только кнопка регулировки громкости перенесены на боковую грань как у смартфона). Пришлось немного повозиться с первым подключением -  цифровой код не выводился  на экран. Может я что не так делал. Хотя все по инструкции. Скачал приложение ""Салют Сбер""на телефон. Можно управлять приставкой через смартфон.  В приложении есть  виртуальный пульт, тачскрин, игровая консоль. Все управляется с экрана смартфона(в этом случае пульт приставки не активный). Вышел из приложения - активируется пульт приставки. Много установленных приложений. Вообщем классная вещь!! Подключил к ЖК телевизору 32"", Качество супер!!! \nА вот кто хочет подключить к телевизору с обычным кинескопом через конвертер HDMI/AVI - будьте готовы к тому, что качественного изображения Вы не получите!!! Пробовал на телевизоре  AKAI, с плоским экраном, диагональ 65 см. Пытался в настройках изменить разрешение - ничего не помогло. На экране мелкие буквы, программу передач читать невозможно. При серфинге по приложениям нижние иконки отображаются только на одну треть. Трудно догадаться, что там отражено. Так что старый телевизор превратить в медиацентр не получится!!! Эта приставка только для ЖК телевизоров!!! Имейте это в виду!!! \n плюсы:\n - удобная оболочка;\n - много установленных приложений;\n - можно установить сторонние;\n - управление с смартфона;\n - голосовой ввод;\n - детский контроль;\n - необычный бокс для батареек в пульте.\n - есть установленные игры.\nминусы:\n - не очень удобно расположены кнопки громкости;\n - при подключении к обычному телевизору плохое качество изображения;\n - батарейки в комплекте не очень  - можно смять  их пальцами - лучше приобрести новые.",Расположение кнопок,не очень удобно расположены кнопки громкости,Системная производительность и управление устройством,Управление с пульта,-1,Системная производительность и управление устройством,Проблемы с управлением с пульта
sqpd8YmfhIOlgcl9oMse,При подключении к телевизору с обычным кинескопом через конвертер HDMI/AVI - качество изображения плохое.,Классная приставка! Все соответствует описанию. Установленные приложения. Правда многие по подписке. Можно установить сторонние приложения.   Одним словом - огонь!Брал в магазине SberDevices. Доставили быстро. Приставка в заводской упаковке. Рекомендую и приставку и продавца!!!,"У меня есть телевизор СБЕР 43"". Понравилась оболочка системы, голосовой ввод, большое количество установленных приложений, удобный серфинг, возможность устанавливать сторонние приложения. Решил второй (32"",не смарт) сделать ""умным"" - приобрел приставку SberBox2.  И у приставки и у смарт ТВ - одна операционная система, нет необходимости привыкать к двум разным системам. Даже пульты одинаковые (только кнопка регулировки громкости перенесены на боковую грань как у смартфона). Пришлось немного повозиться с первым подключением -  цифровой код не выводился  на экран. Может я что не так делал. Хотя все по инструкции. Скачал приложение ""Салют Сбер""на телефон. Можно управлять приставкой через смартфон.  В приложении есть  виртуальный пульт, тачскрин, игровая консоль. Все управляется с экрана смартфона(в этом случае пульт приставки не активный). Вышел из приложения - активируется пульт приставки. Много установленных приложений. Вообщем классная вещь!! Подключил к ЖК телевизору 32"", Качество супер!!! \nА вот кто хочет подключить к телевизору с обычным кинескопом через конвертер HDMI/AVI - будьте готовы к тому, что качественного изображения Вы не получите!!! Пробовал на телевизоре  AKAI, с плоским экраном, диагональ 65 см. Пытался в настройках изменить разрешение - ничего не помогло. На экране мелкие буквы, программу передач читать невозможно. При серфинге по приложениям нижние иконки отображаются только на одну треть. Трудно догадаться, что там отражено. Так что старый телевизор превратить в медиацентр не получится!!! Эта приставка только для ЖК телевизоров!!! Имейте это в виду!!! \n плюсы:\n - удобная оболочка;\n - много установленных приложений;\n - можно установить сторонние;\n - управление с смартфона;\n - голосовой ввод;\n - детский контроль;\n - необычный бокс для батареек в пульте.\n - есть установленные игры.\nминусы:\n - не очень удобно расположены кнопки громкости;\n - при подключении к обычному телевизору плохое качество изображения;\n - батарейки в комплекте не очень  - можно смять  их пальцами - лучше приобрести новые.",Качество изображения,при подключении к телевизору с обычным кинескопом через конвертер HDMI/AVI - качество изображения плохое,Первый опыт,HDR и качество изображения,-1,Первый опыт,Недовольство качеством HDR или изображения
sqpd8YmfhIOlgcl9oMse,При подключении к телевизору с обычным кинескопом через конвертер HDMI/AVI - качество изображения плохое.,Классная приставка! Все соответствует описанию. Установленные приложения. Правда многие по подписке. Можно установить сторонние приложения.   Одним словом - огонь!Брал в магазине SberDevices. Доставили быстро. Приставка в заводской упаковке. Рекомендую и приставку и продавца!!!,"У меня есть телевизор СБЕР 43"". Понравилась оболочка системы, голосовой ввод, большое количество установленных приложений, удобный серфинг, возможность устанавливать сторонние приложения. Решил второй (32"",не смарт) сделать ""умным"" - приобрел приставку SberBox2.  И у приставки и у смарт ТВ - одна операционная система, нет необходимости привыкать к двум разным системам. Даже пульты одинаковые (только кнопка регулировки громкости перенесены на боковую грань как у смартфона). Пришлось немного повозиться с первым подключением -  цифровой код не выводился  на экран. Может я что не так делал. Хотя все по инструкции. Скачал приложение ""Салют Сбер""на телефон. Можно управлять приставкой через смартфон.  В приложении есть  виртуальный пульт, тачскрин, игровая консоль. Все управляется с экрана смартфона(в этом случае пульт приставки не активный). Вышел из приложения - активируется пульт приставки. Много установленных приложений. Вообщем классная вещь!! Подключил к ЖК телевизору 32"", Качество супер!!! \nА вот кто хочет подключить к телевизору с обычным кинескопом через конвертер HDMI/AVI - будьте готовы к тому, что качественного изображения Вы не получите!!! Пробовал на телевизоре  AKAI, с плоским экраном, диагональ 65 см. Пытался в настройках изменить разрешение - ничего не помогло. На экране мелкие буквы, программу передач читать невозможно. При серфинге по приложениям нижние иконки отображаются только на одну треть. Трудно догадаться, что там отражено. Так что старый телевизор превратить в медиацентр не получится!!! Эта приставка только для ЖК телевизоров!!! Имейте это в виду!!! \n плюсы:\n - удобная оболочка;\n - много установленных приложений;\n - можно установить сторонние;\n - управление с смартфона;\n - голосовой ввод;\n - детский контроль;\n - необычный бокс для батареек в пульте.\n - есть установленные игры.\nминусы:\n - не очень удобно расположены кнопки громкости;\n - при подключении к обычному телевизору плохое качество изображения;\n - батарейки в комплекте не очень  - можно смять  их пальцами - лучше приобрести новые.",Комплектация,батарейки в комплекте не очень - можно смять их пальцами - лучше приобрести новые,Доставка/распаковка,Комплектация и соответствие товара,-1,Доставка/распаковка,Несоответствие товара заказу или комплектации
yWtzvRBaLo6IcM1CZulz,Нет,Отлично работает. Для меня на пульте не удобно расположены клавиши звука.,Рекомендую.,Стабильность работы,отлично работает,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
yWtzvRBaLo6IcM1CZulz,Нет,Отлично работает. Для меня на пульте не удобно расположены клавиши звука.,Рекомендую.,Удобство использования (расположение клавиш),на пульте не удобно расположены клавиши звука,Системная производительность и управление устройством,Управление с пульта,-1,Системная производительность и управление устройством,Проблемы с управлением с пульта
Ns5JliYioYFZLE1NHMS5,Подвисают тв каналы,,,Стабильность работы,подвисают ТВ-каналы,Системная производительность и управление устройством,Стабильность системы,-1,Системная производительность и управление устройством,Проблемы со стабильностью системы
lE8yxIwB5HYuAcv3QaJB,,,"Абсолютно новый. Дешевле, чем у других. Абсолютно новый. Сын 11 лет сам всё подключил быстро. Теперь ютуб смотрит).",Цена,"дешевле, чем у других",Выбор и покупка,Цена и промо-предложения,1,Выбор и покупка,Выгодная цена или акция
lE8yxIwB5HYuAcv3QaJB,,,"Абсолютно новый. Дешевле, чем у других. Абсолютно новый. Сын 11 лет сам всё подключил быстро. Теперь ютуб смотрит).",Удобство использования,сын 11 лет сам всё подключил быстро,Первый опыт,"Настройка устройства (процесс, инструкция, UX)",1,Первый опыт,Удобная настройка устройства
DGkNxYwBqc_1CWBPtQTl,,,Просто ужас постоянно тупит не работает  нормально,Стабильность работы,"постоянно тупит, не работает нормально",Системная производительность и управление устройством,Стабильность системы,-1,Системная производительность и управление устройством,Проблемы со стабильностью системы
netYxowBK9xQ7jEJ6cca,,,"Приставка хорошая, но почему то в иви не заходит. Пишет добавить в избранное или удалить.",Функциональность приложений,"не получается зайти в приложение Иви, пишет 'добавить в избранное или удалить'",Приложения и каталог приложений,Работа приложений,-1,Приложения и каталог приложений,Проблемы с работой приложений
q_3hyIwBGgNwMUDvkyDX,,,"Рекомендую. Хорошая приставка. Проста в использовании. У нас старый телевизор, без wifi,  кабельное ростелеком. Приставка отлично справляется со своей работой.",Простота использования,проста в использовании,Системная производительность и управление устройством,Навигация и логика интерфейса,1,Системная производительность и управление устройством,Удобная навигация и логика интерфейса
q_3hyIwBGgNwMUDvkyDX,,,"Рекомендую. Хорошая приставка. Проста в использовании. У нас старый телевизор, без wifi,  кабельное ростелеком. Приставка отлично справляется со своей работой.",Совместимость,подходит даже к старому телевизору без Wi-Fi,Выбор и покупка,Совместимость устройств и сценариев,1,Выбор и покупка,Успешная совместимость ТВ с устройствами
q_3hyIwBGgNwMUDvkyDX,,,"Рекомендую. Хорошая приставка. Проста в использовании. У нас старый телевизор, без wifi,  кабельное ростелеком. Приставка отлично справляется со своей работой.",Производительность,отлично справляется со своей работой,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
XIaRy4wBo8kheRYZCJm3,,,Хорошая приставка.Установка не занимает много времени.Качество отличное.Мы довольны.,Установка,установка не занимает много времени,Первый опыт,"Настройка устройства (процесс, инструкция, UX)",1,Первый опыт,Удобная настройка устройства
XIaRy4wBo8kheRYZCJm3,,,Хорошая приставка.Установка не занимает много времени.Качество отличное.Мы довольны.,Качество,качество отличное,Выбор и покупка,Соотношение цена–качество,1,Выбор и покупка,Хорошее соотношение цены и качества
tG5M0IwBI2GFApLnCsJe,,,"Подключили быстро, очень удобная приставка!!!! Рекомендую!",Удобство использования,очень удобная приставка,Системная производительность и управление устройством,Навигация и логика интерфейса,1,Системная производительность и управление устройством,Удобная навигация и логика интерфейса
tG5M0IwBI2GFApLnCsJe,,,"Подключили быстро, очень удобная приставка!!!! Рекомендую!",Скорость подключения,подключили быстро,Первый опыт,Подключение интернета при первичной настройке,1,Первый опыт,Успешное подключение интернета при настройке
j2Z82IwB-8_OjqckufPF,,,"Приставка не работает!!! Что делать? Все подключила, и ни чего",Работа устройства,не работает после подключения,Системная производительность и управление устройством,Производительность системы,-1,Системная производительность и управление устройством,Низкая производительность системы
PumP2IwB_8RHzXwXtcZO,,,"Отличный товар ) быстро подключился , работает без нареканий",Простота подключения,быстро подключился,Первый опыт,Подключение интернета при первичной настройке,1,Первый опыт,Успешное подключение интернета при настройке
PumP2IwB_8RHzXwXtcZO,,,"Отличный товар ) быстро подключился , работает без нареканий",Стабильность работы,работает без нареканий,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
Yvad4IwBhH9mrcYdDC-L,,,"Подключил и через 30 мин , выключил и убрал обратно в коробку…. Так себе вещица…. Лешевый китайский твбокс вернулся на свое сесто… так как оказался лучше…. Пульт не в какие рамки…… зря купил. Полежмт и  потом на помойку….",Удобство использования,подключил и через 30 минут выключил и убрал обратно в коробку,Первый опыт,"Настройка устройства (процесс, инструкция, UX)",-1,Первый опыт,Сложности в процессе настройки устройства
Yvad4IwBhH9mrcYdDC-L,,,"Подключил и через 30 мин , выключил и убрал обратно в коробку…. Так себе вещица…. Лешевый китайский твбокс вернулся на свое сесто… так как оказался лучше…. Пульт не в какие рамки…… зря купил. Полежмт и  потом на помойку….",Качество сборки,леший китайский твбокс оказался лучше,Выбор и покупка,Внешний вид и ощущение качества,-1,Выбор и покупка,Недовольство внешним видом или качеством сборки
Yvad4IwBhH9mrcYdDC-L,,,"Подключил и через 30 мин , выключил и убрал обратно в коробку…. Так себе вещица…. Лешевый китайский твбокс вернулся на свое сесто… так как оказался лучше…. Пульт не в какие рамки…… зря купил. Полежмт и  потом на помойку….",Пульт управления,пульт не в какие рамки,Системная производительность и управление устройством,Управление с пульта,-1,Системная производительность и управление устройством,Проблемы с управлением с пульта
Yvad4IwBhH9mrcYdDC-L,,,"Подключил и через 30 мин , выключил и убрал обратно в коробку…. Так себе вещица…. Лешевый китайский твбокс вернулся на свое сесто… так как оказался лучше…. Пульт не в какие рамки…… зря купил. Полежмт и  потом на помойку….",Покупательская ценность,зря купил,Выбор и покупка,Соотношение цена–качество,-1,Выбор и покупка,Неудовлетворительное соотношение цены и качества
O2pL5IwBJB_qp0aI40wN,,,"Очень легко подключить, работает👍",Удобство подключения,Очень легко подключить,Первый опыт,"Настройка устройства (процесс, инструкция, UX)",1,Первый опыт,Удобная настройка устройства
O2pL5IwBJB_qp0aI40wN,,,"Очень легко подключить, работает👍",Стабильность работы,Работает стабильно,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
20SD6YwBSe9L3QWIN3dW,,,"Отлично работает,  свои функции выполняет",Стабильность работы,отлично работает,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
20SD6YwBSe9L3QWIN3dW,,,"Отлично работает,  свои функции выполняет",Функциональность,свои функции выполняет,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
YXyU7IwBI2GFApLnbhMI,,,"Добрый день, заказали приставку все хорошо но есть одно но постоянно вылетает wi-fi, каждый раз нужно подключаться",Wi-Fi соединение,"постоянно вылетает Wi-Fi, каждый раз нужно подключаться заново",Просмотр онлайн-контента,Интернет-соединение при просмотре онлайн-контента,-1,Просмотр онлайн-контента,Проблемы с интернет-соединением при просмотре онлайн-контента
KZe47IwB-uQDHp63wFbT,,,Пришло всё новое. Упаковано отлично. Работает хорошо.,Упаковка,упаковано отлично,Доставка/распаковка,Состояние упаковки,1,Доставка/распаковка,Хорошее состояние упаковки
KZe47IwB-uQDHp63wFbT,,,Пришло всё новое. Упаковано отлично. Работает хорошо.,Состояние товара,пришло всё новое,Доставка/распаковка,Состояние товара при доставке,1,Доставка/распаковка,Товар доставлен без повреждений
KZe47IwB-uQDHp63wFbT,,,Пришло всё новое. Упаковано отлично. Работает хорошо.,Работоспособность,работает хорошо,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
EsWe8owBRacRZYaK8LsP,,,"Отличная приставка, легко подключается. Очень довольны",Простота подключения,легко подключается,Первый опыт,Подключение интернета при первичной настройке,1,Первый опыт,Успешное подключение интернета при настройке
N91u9IwBWfgFV44zTo7V,,,Отличная штука. Всё работает. Лёгкая в управлении и в настройках,Управление,лёгкая в управлении,Системная производительность и управление устройством,Управление с пульта,1,Системная производительность и управление устройством,Удобное управление с пульта
N91u9IwBWfgFV44zTo7V,,,Отличная штука. Всё работает. Лёгкая в управлении и в настройках,Настройки,лёгкая в настройках,Первый опыт,"Настройка устройства (процесс, инструкция, UX)",1,Первый опыт,Удобная настройка устройства
N91u9IwBWfgFV44zTo7V,,,Отличная штука. Всё работает. Лёгкая в управлении и в настройках,Работа устройства,всё работает,Системная производительность и управление устройством,Производительность системы,1,Системная производительность и управление устройством,Высокая производительность системы
dX8L9YwBqc_1CWBPnPPy,,,Отличный товар исправно работает 2 или 3 год,Стабильность работы,исправно работает уже несколько лет,Системная производительность и управление устройством,Стабильность системы,1,Системная производительность и управление устройством,Стабильная работа системы
WHnV-YwB-8_OjqckEcvt,,,"Вполне неплохая приставка. По факту тот же android TV, только в другой оболочке и с уклоном на российские сервисы. Естественно те же самые функции и возможности что и у других тв боксов. Только цена ниже чем у многих известных аналогов. Сейчас на сбербокс можно ставить apk файлы и есть свой магазин приложений.  Youtube сразу установлен, можно зайти в свой аккаунт. Подписка сберпрайм вовсе не обязательна, можно смотреть любые онлайн кинотеатры. Очень понравился голосовой ассистент, гораздо более функциональный чем у google.",Функциональность,те же самые функции и возможности что и у других ТВ-боксов,Выбор и покупка,Экосистема и дополнительные функции,1,Выбор и покупка,Положительная оценка экосистемы и умных функций
WHnV-YwB-8_OjqckEcvt,,,"Вполне неплохая приставка. По факту тот же android TV, только в другой оболочке и с уклоном на российские сервисы. Естественно те же самые функции и возможности что и у других тв боксов. Только цена ниже чем у многих известных аналогов. Сейчас на сбербокс можно ставить apk файлы и есть свой магазин приложений.  Youtube сразу установлен, можно зайти в свой аккаунт. Подписка сберпрайм вовсе не обязательна, можно смотреть любые онлайн кинотеатры. Очень понравился голосовой ассистент, гораздо более функциональный чем у google.",Цена,цена ниже чем у многих известных аналогов,Выбор и покупка,Цена и промо-предложения,1,Выбор и покупка,Выгодная цена или акция
WHnV-YwB-8_OjqckEcvt,,,"Вполне неплохая приставка. По факту тот же android TV, только в другой оболочке и с уклоном на российские сервисы. Естественно те же самые функции и возможности что и у других тв боксов. Только цена ниже чем у многих известных аналогов. Сейчас на сбербокс можно ставить apk файлы и есть свой магазин приложений.  Youtube сразу установлен, можно зайти в свой аккаунт. Подписка сберпрайм вовсе не обязательна, можно смотреть любые онлайн кинотеатры. Очень понравился голосовой ассистент, гораздо более функциональный чем у google.",Программное обеспечение,есть возможность устанавливать APK-файлы и собственный магазин приложений,Приложения и каталог приложений,Установка приложений,1,Приложения и каталог приложений,Успешная установка приложений
